Sex,Decile,Age,Population
Males,1.0,2,39737.0
Males,2.0,2,37089.0
Males,3.0,2,35683.0
Males,4.0,2,32842.0
Males,5.0,2,31043.0
Males,6.0,2,29626.0
Males,7.0,2,27644.0
Males,8.0,2,26883.0
Males,9.0,2,25449.0
Males,10.0,2,22819.0
Females,1.0,2,37824.0
Females,2.0,2,35081.0
Females,3.0,2,34062.0
Females,4.0,2,30823.0
Females,5.0,2,29474.0
Females,6.0,2,28049.0
Females,7.0,2,26042.0
Females,8.0,2,25548.0
Females,9.0,2,24529.0
Females,10.0,2,21666.0
Males,1.0,3,41655.0
Males,2.0,3,38375.0
Males,3.0,3,36629.0
Males,4.0,3,33203.0
Males,5.0,3,32283.0
Males,6.0,3,30647.0
Males,7.0,3,28581.0
Males,8.0,3,28015.0
Males,9.0,3,27164.0
Males,10.0,3,24826.0
Females,1.0,3,39601.0
Females,2.0,3,36280.0
Females,3.0,3,34744.0
Females,4.0,3,31919.0
Females,5.0,3,29952.0
Females,6.0,3,29162.0
Females,7.0,3,27183.0
Females,8.0,3,26352.0
Females,9.0,3,25392.0
Females,10.0,3,23513.0
Males,1.0,4,43039.0
Males,2.0,4,39154.0
Males,3.0,4,37682.0
Males,4.0,4,34367.0
Males,5.0,4,32385.0
Males,6.0,4,31895.0
Males,7.0,4,29984.0
Males,8.0,4,29564.0
Males,9.0,4,28533.0
Males,10.0,4,26957.0
Females,1.0,4,41020.0
Females,2.0,4,37827.0
Females,3.0,4,36172.0
Females,4.0,4,32751.0
Females,5.0,4,30704.0
Females,6.0,4,29739.0
Females,7.0,4,28388.0
Females,8.0,4,27691.0
Females,9.0,4,27063.0
Females,10.0,4,25311.0
Males,1.0,5,45260.0
Males,2.0,5,40864.0
Males,3.0,5,38279.0
Males,4.0,5,35100.0
Males,5.0,5,33466.0
Males,6.0,5,32480.0
Males,7.0,5,30366.0
Males,8.0,5,30203.0
Males,9.0,5,29496.0
Males,10.0,5,28575.0
Females,1.0,5,42638.0
Females,2.0,5,38729.0
Females,3.0,5,36792.0
Females,4.0,5,33192.0
Females,5.0,5,31704.0
Females,6.0,5,30842.0
Females,7.0,5,28834.0
Females,8.0,5,28909.0
Females,9.0,5,28424.0
Females,10.0,5,26863.0
Males,1.0,6,45647.0
Males,2.0,6,41193.0
Males,3.0,6,39102.0
Males,4.0,6,35796.0
Males,5.0,6,34232.0
Males,6.0,6,33255.0
Males,7.0,6,31583.0
Males,8.0,6,31629.0
Males,9.0,6,31282.0
Males,10.0,6,30733.0
Females,1.0,6,43077.0
Females,2.0,6,39550.0
Females,3.0,6,36992.0
Females,4.0,6,33566.0
Females,5.0,6,32484.0
Females,6.0,6,32016.0
Females,7.0,6,29777.0
Females,8.0,6,30161.0
Females,9.0,6,29728.0
Females,10.0,6,29013.0
Males,1.0,7,45480.0
Males,2.0,7,41245.0
Males,3.0,7,39218.0
Males,4.0,7,35460.0
Males,5.0,7,33651.0
Males,6.0,7,32976.0
Males,7.0,7,31463.0
Males,8.0,7,31298.0
Males,9.0,7,31621.0
Males,10.0,7,31243.0
Females,1.0,7,42842.0
Females,2.0,7,38929.0
Females,3.0,7,37118.0
Females,4.0,7,33877.0
Females,5.0,7,32161.0
Females,6.0,7,31464.0
Females,7.0,7,29846.0
Females,8.0,7,30052.0
Females,9.0,7,29820.0
Females,10.0,7,29426.0
Males,1.0,8,45560.0
Males,2.0,8,41591.0
Males,3.0,8,39107.0
Males,4.0,8,35855.0
Males,5.0,8,33685.0
Males,6.0,8,33140.0
Males,7.0,8,31515.0
Males,8.0,8,31698.0
Males,9.0,8,31915.0
Males,10.0,8,31938.0
Females,1.0,8,43395.0
Females,2.0,8,39395.0
Females,3.0,8,36939.0
Females,4.0,8,33974.0
Females,5.0,8,32393.0
Females,6.0,8,31769.0
Females,7.0,8,30272.0
Females,8.0,8,30127.0
Females,9.0,8,30338.0
Females,10.0,8,30128.0
Males,1.0,9,46097.0
Males,2.0,9,42479.0
Males,3.0,9,39869.0
Males,4.0,9,36218.0
Males,5.0,9,34922.0
Males,6.0,9,34160.0
Males,7.0,9,32148.0
Males,8.0,9,32649.0
Males,9.0,9,32528.0
Males,10.0,9,32916.0
Females,1.0,9,43691.0
Females,2.0,9,40180.0
Females,3.0,9,38159.0
Females,4.0,9,34268.0
Females,5.0,9,33111.0
Females,6.0,9,31889.0
Females,7.0,9,31158.0
Females,8.0,9,31068.0
Females,9.0,9,31303.0
Females,10.0,9,31127.0
Males,1.0,10,46898.0
Males,2.0,10,43321.0
Males,3.0,10,40961.0
Males,4.0,10,36944.0
Males,5.0,10,35232.0
Males,6.0,10,34992.0
Males,7.0,10,33280.0
Males,8.0,10,33619.0
Males,9.0,10,34178.0
Males,10.0,10,34704.0
Females,1.0,10,44703.0
Females,2.0,10,41371.0
Females,3.0,10,38628.0
Females,4.0,10,35292.0
Females,5.0,10,33723.0
Females,6.0,10,33307.0
Females,7.0,10,31766.0
Females,8.0,10,32200.0
Females,9.0,10,32538.0
Females,10.0,10,32891.0
Males,1.0,11,45334.0
Males,2.0,11,41418.0
Males,3.0,11,39072.0
Males,4.0,11,35758.0
Males,5.0,11,34649.0
Males,6.0,11,34304.0
Males,7.0,11,33071.0
Males,8.0,11,33682.0
Males,9.0,11,33973.0
Males,10.0,11,35326.0
Females,1.0,11,43013.0
Females,2.0,11,39759.0
Females,3.0,11,37177.0
Females,4.0,11,34233.0
Females,5.0,11,32863.0
Females,6.0,11,32485.0
Females,7.0,11,31549.0
Females,8.0,11,31633.0
Females,9.0,11,32230.0
Females,10.0,11,33517.0
Males,1.0,12,44433.0
Males,2.0,12,41092.0
Males,3.0,12,38247.0
Males,4.0,12,35044.0
Males,5.0,12,34009.0
Males,6.0,12,33713.0
Males,7.0,12,32282.0
Males,8.0,12,32784.0
Males,9.0,12,33505.0
Males,10.0,12,35035.0
Females,1.0,12,42206.0
Females,2.0,12,38783.0
Females,3.0,12,36470.0
Females,4.0,12,33258.0
Females,5.0,12,32101.0
Females,6.0,12,31990.0
Females,7.0,12,30912.0
Females,8.0,12,31316.0
Females,9.0,12,32374.0
Females,10.0,12,33533.0
Males,1.0,13,43557.0
Males,2.0,13,40144.0
Males,3.0,13,37367.0
Males,4.0,13,34109.0
Males,5.0,13,33260.0
Males,6.0,13,33388.0
Males,7.0,13,31920.0
Males,8.0,13,32579.0
Males,9.0,13,33682.0
Males,10.0,13,35207.0
Females,1.0,13,41733.0
Females,2.0,13,38195.0
Females,3.0,13,35623.0
Females,4.0,13,32627.0
Females,5.0,13,31597.0
Females,6.0,13,31452.0
Females,7.0,13,30292.0
Females,8.0,13,31046.0
Females,9.0,13,31508.0
Females,10.0,13,33587.0
Males,1.0,14,43536.0
Males,2.0,14,40019.0
Males,3.0,14,37567.0
Males,4.0,14,34365.0
Males,5.0,14,33432.0
Males,6.0,14,33777.0
Males,7.0,14,32569.0
Males,8.0,14,33135.0
Males,9.0,14,34145.0
Males,10.0,14,36010.0
Females,1.0,14,41406.0
Females,2.0,14,38180.0
Females,3.0,14,35700.0
Females,4.0,14,32560.0
Females,5.0,14,31745.0
Females,6.0,14,31845.0
Females,7.0,14,30780.0
Females,8.0,14,31450.0
Females,9.0,14,32528.0
Females,10.0,14,34072.0
Males,1.0,15,41720.0
Males,2.0,15,38415.0
Males,3.0,15,36205.0
Males,4.0,15,33425.0
Males,5.0,15,32486.0
Males,6.0,15,32410.0
Males,7.0,15,31616.0
Males,8.0,15,32334.0
Males,9.0,15,33279.0
Males,10.0,15,35792.0
Females,1.0,15,39474.0
Females,2.0,15,36673.0
Females,3.0,15,34401.0
Females,4.0,15,31547.0
Females,5.0,15,30522.0
Females,6.0,15,30705.0
Females,7.0,15,30056.0
Females,8.0,15,30671.0
Females,9.0,15,31306.0
Females,10.0,15,33736.0
Males,1.0,16,40577.0
Males,2.0,16,37563.0
Males,3.0,16,35575.0
Males,4.0,16,32229.0
Males,5.0,16,31853.0
Males,6.0,16,32069.0
Males,7.0,16,31056.0
Males,8.0,16,31663.0
Males,9.0,16,32775.0
Males,10.0,16,34920.0
Females,1.0,16,39166.0
Females,2.0,16,36033.0
Females,3.0,16,33377.0
Females,4.0,16,30759.0
Females,5.0,16,29963.0
Females,6.0,16,30269.0
Females,7.0,16,29785.0
Females,8.0,16,30105.0
Females,9.0,16,31095.0
Females,10.0,16,33193.0
Males,1.0,17,38013.0
Males,2.0,17,35956.0
Males,3.0,17,33858.0
Males,4.0,17,31353.0
Males,5.0,17,30798.0
Males,6.0,17,30670.0
Males,7.0,17,30014.0
Males,8.0,17,31005.0
Males,9.0,17,31416.0
Males,10.0,17,34041.0
Females,1.0,17,36625.0
Females,2.0,17,34238.0
Females,3.0,17,32167.0
Females,4.0,17,29529.0
Females,5.0,17,28825.0
Females,6.0,17,29300.0
Females,7.0,17,28724.0
Females,8.0,17,29167.0
Females,9.0,17,30001.0
Females,10.0,17,32056.0
Males,1.0,18,36798.0
Males,2.0,18,34980.0
Males,3.0,18,32821.0
Males,4.0,18,30862.0
Males,5.0,18,30499.0
